,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,-mnthpC--HoFLdh88sfNBw,bat-city-pies-austin,Bat City Pies,https://s3-media1.fl.yelpcdn.com/bphoto/q8CkA6IfseTNonK-wAYJ8g/o.jpg,False,https://www.yelp.com/biz/bat-city-pies-austin?adjust_creative=HCd3mlYSSBgpBbGmrzgqcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HCd3mlYSSBgpBbGmrzgqcQ,27,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 30.241716, 'longitude': -97.726887}","['pickup', 'delivery']",$$,"{'address1': '1505 Town Creek Dr', 'address2': None, 'address3': '', 'city': 'Austin', 'zip_code': '78741', 'country': 'US', 'state': 'TX', 'display_address': ['1505 Town Creek Dr', 'Austin, TX 78741']}",+17377429137,(737) 742-9137,7655.303710299296
1,-rGe9neNz5wTBI1f9i1v2w,pizza-tova-cedar-park,Pizza Tova,https://s3-media2.fl.yelpcdn.com/bphoto/_HV6VKP2j90Dw3gdXJy3uA/o.jpg,False,https://www.yelp.com/biz/pizza-tova-cedar-park?adjust_creative=HCd3mlYSSBgpBbGmrzgqcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HCd3mlYSSBgpBbGmrzgqcQ,17,"[{'alias': 'pizza', 'title': 'Pizza'}]",5.0,"{'latitude': 30.503028206160018, 'longitude': -97.8204219415784}","['pickup', 'delivery']",,"{'address1': '200 Buttercup Creek Blvd', 'address2': 'Ste 128', 'address3': None, 'city': 'Cedar Park', 'zip_code': '78613', 'country': 'US', 'state': 'TX', 'display_address': ['200 Buttercup Creek Blvd', 'Ste 128', 'Cedar Park, TX 78613']}",+15122962280,(512) 296-2280,22809.231062998835
2,3qt66qa1OQWJheNXN0XYpg,possum-pizza-austin,Possum Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/L4LE16HBRdn8AK5twOGXSA/o.jpg,False,https://www.yelp.com/biz/possum-pizza-austin?adjust_creative=HCd3mlYSSBgpBbGmrzgqcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HCd3mlYSSBgpBbGmrzgqcQ,64,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 30.24138851933435, 'longitude': -97.72687013239972}",['delivery'],,"{'address1': '2324 E Cesar Chavez', 'address2': None, 'address3': '', 'city': 'Austin', 'zip_code': '78702', 'country': 'US', 'state': 'TX', 'display_address': ['2324 E Cesar Chavez', 'Austin, TX 78702']}",+15129397787,(512) 939-7787,7684.694695410108
3,_Y5GEb-PJvogHYUYuVJtmw,pedrosos-pizza-austin,Pedroso's Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/qL-rM48C0VKqlnq7z7bH2Q/o.jpg,False,https://www.yelp.com/biz/pedrosos-pizza-austin?adjust_creative=HCd3mlYSSBgpBbGmrzgqcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HCd3mlYSSBgpBbGmrzgqcQ,165,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'pizza', 'title': 'Pizza'}]",5.0,"{'latitude': 30.36399425358635, 'longitude': -97.72843131788488}",['delivery'],$$,"{'address1': '8315 Burnet Rd', 'address2': None, 'address3': '', 'city': 'Austin', 'zip_code': '78757', 'country': 'US', 'state': 'TX', 'display_address': ['8315 Burnet Rd', 'Austin, TX 78757']}",+17376001107,(737) 600-1107,7120.776338734788
4,VobyVz_hbGNapYUfNDGyHw,little-deli-and-pizzeria-austin-3,Little Deli & Pizzeria,https://s3-media1.fl.yelpcdn.com/bphoto/rB5LnjTFbo65bkOhKehK2w/o.jpg,False,https://www.yelp.com/biz/little-deli-and-pizzeria-austin-3?adjust_creative=HCd3mlYSSBgpBbGmrzgqcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HCd3mlYSSBgpBbGmrzgqcQ,117,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 30.314342, 'longitude': -97.689852}",['delivery'],$,"{'address1': '1804 Briarcliff Blvd', 'address2': None, 'address3': None, 'city': 'Austin', 'zip_code': '78723', 'country': 'US', 'state': 'TX', 'display_address': ['1804 Briarcliff Blvd', 'Austin, TX 78723']}",+15122208346,(512) 220-8346,6573.20226585328
5,s20zYPhYIeqd07jECcJk9A,baldinucci-pizza-romana-west-lake-hills,Baldinucci Pizza Romana,https://s3-media3.fl.yelpcdn.com/bphoto/3R4R2xXPZf5jj2D9nEjIew/o.jpg,False,https://www.yelp.com/biz/baldinucci-pizza-romana-west-lake-hills?adjust_creative=HCd3mlYSSBgpBbGmrzgqcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HCd3mlYSSBgpBbGmrzgqcQ,134,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 30.275148169433592, 'longitude': -97.80066552075164}",[],$$,"{'address1': '3300 Bee Caves Rd', 'address2': 'Ste 110', 'address3': '', 'city': 'West Lake Hills', 'zip_code': '78746', 'country': 'US', 'state': 'TX', 'display_address': ['3300 Bee Caves Rd', 'Ste 110', 'West Lake Hills, TX 78746']}",+15123821166,(512) 382-1166,5304.3002714986915
6,73HzDvYl08L3bWwS2Nv9JQ,sangiovanni-distillery-pizzeria-and-daiquiris-pflugerville,Sangiovanni Distillery Pizzeria & Daiquiris,https://s3-media2.fl.yelpcdn.com/bphoto/OP8VRW_uJD8iwFU-QPxihg/o.jpg,False,https://www.yelp.com/biz/sangiovanni-distillery-pizzeria-and-daiquiris-pflugerville?adjust_creative=HCd3mlYSSBgpBbGmrzgqcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HCd3mlYSSBgpBbGmrzgqcQ,84,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'distilleries', 'title': 'Distilleries'}]",4.5,"{'latitude': 30.49271197708639, 'longitude': -97.58701515348616}",['delivery'],$$,"{'address1': '4701 Priem Ln', 'address2': 'Ste 3-A', 'address3': None, 'city': 'Pflugerville', 'zip_code': '78660', 'country': 'US', 'state': 'TX', 'display_address': ['4701 Priem Ln', 'Ste 3-A', 'Pflugerville, TX 78660']}",+15122916094,(512) 291-6094,26513.84514487752
7,5Upzhg9uu7J65gDzpdADhw,market-street-pizza-austin,Market Street Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/Sr-BMCfo-lP4fIiDI0-bHQ/o.jpg,False,https://www.yelp.com/biz/market-street-pizza-austin?adjust_creative=HCd3mlYSSBgpBbGmrzgqcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HCd3mlYSSBgpBbGmrzgqcQ,266,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 30.411394059197484, 'longitude': -97.675954}","['pickup', 'delivery']",$$,"{'address1': '13000 N Interstate Hwy 35', 'address2': 'Ste 210', 'address3': None, 'city': 'Austin', 'zip_code': '78753', 'country': 'US', 'state': 'TX', 'display_address': ['13000 N Interstate Hwy 35', 'Ste 210', 'Austin, TX 78753']}",+15128213311,(512) 821-3311,14180.932038400393
8,r6DWFv4TsBnFK15ebDroXw,flos-wine-bar-and-bottle-shop-austin,Flo's Wine Bar & Bottle Shop,https://s3-media3.fl.yelpcdn.com/bphoto/6YQCkCDeBCM_PM_CvgSiOg/o.jpg,False,https://www.yelp.com/biz/flos-wine-bar-and-bottle-shop-austin?adjust_creative=HCd3mlYSSBgpBbGmrzgqcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HCd3mlYSSBgpBbGmrzgqcQ,26,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 30.31326371700297, 'longitude': -97.7669042}",[],,"{'address1': '3111 W 35th St', 'address2': '', 'address3': None, 'city': 'Austin', 'zip_code': '78703', 'country': 'US', 'state': 'TX', 'display_address': ['3111 W 35th St', 'Austin, TX 78703']}",,,1260.8906521688823
9,p0vdkFUU05RCSE0aGXKT7w,big-nonnas-austin,Big Nonna's,https://s3-media2.fl.yelpcdn.com/bphoto/Mws0xDsX2oMc8hoRYsqnTQ/o.jpg,False,https://www.yelp.com/biz/big-nonnas-austin?adjust_creative=HCd3mlYSSBgpBbGmrzgqcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HCd3mlYSSBgpBbGmrzgqcQ,103,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.5,"{'latitude': 30.40104654320376, 'longitude': -97.6577825023325}","['pickup', 'delivery']",$$,"{'address1': '12601 Tech Ridge Blvd', 'address2': 'Ste 300', 'address3': '', 'city': 'Austin', 'zip_code': '78753', 'country': 'US', 'state': 'TX', 'display_address': ['12601 Tech Ridge Blvd', 'Ste 300', 'Austin, TX 78753']}",+17372024782,(737) 202-4782,14340.339610620382
